29/03/2022 14:04:36 Connecting to Vehicle on: /dev/ttyACM0
29/03/2022 14:04:36 ArduPlane V4.1.4 (0f984409)
29/03/2022 14:04:36 ChibiOS: 45395b6a
29/03/2022 14:04:36 CubeBlack 00360049 3337510E 37353832
29/03/2022 14:04:36 RCOut: PWM:1-12
29/03/2022 14:04:36 IMU0: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:04:36 IMU2: fast sampling enabled 8.0kHz/1.0kHz
29/03/2022 14:04:47 Pilot control + Computer
29/03/2022 14:04:48 Pilot control + Computer
29/03/2022 14:04:48 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:49 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:50 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:51 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:52 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:53 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
29/03/2022 14:04:54 Pilot control + Computer
