30/03/2022 12:35:33 Connecting to Vehicle on: /dev/ttyACM0
30/03/2022 12:35:34 ArduPlane V4.1.4 (0f984409)
30/03/2022 12:35:34 ChibiOS: 45395b6a
30/03/2022 12:35:34 CubeBlack 00360049 3337510E 37353832
30/03/2022 12:35:34 RCOut: PWM:1-14
30/03/2022 12:35:34 IMU0: fast sampling enabled 8.0kHz/1.0kHz
30/03/2022 12:35:34 IMU2: fast sampling enabled 8.0kHz/1.0kHz
30/03/2022 12:35:46 Pilot control
30/03/2022 12:35:47 Pilot control
30/03/2022 12:35:47 Pilot control
30/03/2022 12:35:47 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:48 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:49 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:50 Pilot control
30/03/2022 12:35:51 Pilot control
30/03/2022 12:35:51 Pilot control
30/03/2022 12:35:51 Pilot control
30/03/2022 12:35:52 Pilot control
30/03/2022 12:35:52 Pilot control
30/03/2022 12:35:52 Pilot control
30/03/2022 12:35:52 Pilot control
30/03/2022 12:35:52 Pilot control
30/03/2022 12:35:53 Pilot control
30/03/2022 12:35:53 Pilot control
30/03/2022 12:35:53 Pilot control
30/03/2022 12:35:53 Pilot control
30/03/2022 12:35:53 Pilot control
