05/04/2022 12:05:18 Connecting to Vehicle on: /dev/ttyACM0
05/04/2022 12:05:18 ArduPlane V4.1.4 (0f984409)
05/04/2022 12:05:18 ChibiOS: 45395b6a
05/04/2022 12:05:18 CubeBlack 00360049 3337510E 37353832
05/04/2022 12:05:18 RCOut: PWM:1-14
05/04/2022 12:05:18 IMU0: fast sampling enabled 8.0kHz/1.0kHz
05/04/2022 12:05:18 IMU2: fast sampling enabled 8.0kHz/1.0kHz
05/04/2022 12:05:28 distance: 43.74521104090183
05/04/2022 12:05:29 Pilot control
05/04/2022 12:05:29 Pilot control
05/04/2022 12:05:29 distance: 43.834800687884126
05/04/2022 12:05:30 Pilot control
05/04/2022 12:05:30 Pilot control
05/04/2022 12:05:30 distance: 44.01884398300437
05/04/2022 12:05:31 Pilot control
05/04/2022 12:05:31 Pilot control
05/04/2022 12:05:31 distance: 44.158159991449494
05/04/2022 12:05:32 Pilot control
05/04/2022 12:05:32 Pilot control
05/04/2022 12:05:32 distance: 44.37211747359793
05/04/2022 12:05:33 Pilot control
05/04/2022 12:05:33 Pilot control
05/04/2022 12:05:33 distance: 44.46174131942227
05/04/2022 12:05:34 Pilot control
05/04/2022 12:05:34 Pilot control
05/04/2022 12:05:34 distance: 44.516544175797335
05/04/2022 12:05:35 Pilot control
05/04/2022 12:05:35 Pilot control
05/04/2022 12:05:35 distance: 44.56133489519091
05/04/2022 12:05:36 Pilot control
05/04/2022 12:05:36 Pilot control
05/04/2022 12:05:36 distance: 44.5414359424308
05/04/2022 12:05:37 Pilot control
05/04/2022 12:05:37 Pilot control
05/04/2022 12:05:37 distance: 44.526493368902855
05/04/2022 12:05:38 Pilot control
05/04/2022 12:05:38 Pilot control
05/04/2022 12:05:38 distance: 44.50160159799807
05/04/2022 12:05:39 Pilot control
05/04/2022 12:05:40 Pilot control
05/04/2022 12:05:40 distance: 44.476709827211415
05/04/2022 12:05:41 Pilot control
05/04/2022 12:05:41 Pilot control
05/04/2022 12:05:41 distance: 44.56659464369084
05/04/2022 12:05:42 Pilot control
05/04/2022 12:05:42 Pilot control
05/04/2022 12:05:42 distance: 44.61686670953614
05/04/2022 12:05:43 Pilot control
05/04/2022 12:05:43 Pilot control
05/04/2022 12:05:43 distance: 44.69731193958656
05/04/2022 12:05:44 Pilot control
05/04/2022 12:05:44 Pilot control
05/04/2022 12:05:44 distance: 44.66272770527197
05/04/2022 12:05:45 Pilot control
05/04/2022 12:05:45 Pilot control
05/04/2022 12:05:45 distance: 44.608607252275974
05/04/2022 12:05:46 Pilot control
05/04/2022 12:05:46 Pilot control
